87, 3385, 25.527547, 27.559052, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
88, 3385, 33.694961, 33.860538, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
89, 3385, 44.517978, 44.998789, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
90, 3385, 45.67065, 45.798017, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
91, 3385, 68.70817, 70.300259, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
92, 3385, 73.872905, 74.098982, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
93, 3385, 82.798153, 83.320358, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
94, 3385, 83.766143, 84.380689, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
95, 3385, 84.70866, 85.240417, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
96, 3385, 86.864347, 87.195502, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
97, 3385, 90.825463, 91.150249, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
98, 3385, 94.347163, 94.621002, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
99, 3385, 117.126765, 117.674444, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
100, 3385, 118.801642, 119.132797, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
101, 3385, 122.87102, 123.214911, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
102, 3385, 123.705275, 124.081008, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
103, 3385, 128.468803, 129.029219, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
104, 3385, 142.772126, 143.173333, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
105, 3385, 145.249416, 145.89262, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
106, 3385, 153.655643, 154.2479, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
107, 3385, 158.132596, 158.444645, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
108, 3385, 158.826746, 159.106954, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
109, 3385, 170.206995, 170.7292, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
110, 3385, 178.282068, 179.097217, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
111, 3385, 180.530097, 181.026828, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
112, 3385, 183.255752, 183.854377, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
113, 3385, 185.841304, 186.573664, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
114, 3385, 189.127374, 189.757841, 'ae albopictus', 'mosquito', '/CDC/sounds/CDC_Ae-albopictus_labelled_800.wav'
166, 3477, 103.826262, 103.982271, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
167, 3477, 117.219386, 117.399033, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
168, 3477, 131.009624, 131.160905, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
169, 3477, 184.04791, 184.222829, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
170, 3477, 235.90431, 236.060319, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
171, 3477, 241.043148, 241.279525, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
172, 3477, 253.05583, 253.192929, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
173, 3477, 264.690309, 265.002327, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
174, 3477, 265.664183, 265.810736, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
175, 3477, 267.555199, 267.763211, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
176, 3477, 289.760461, 289.907014, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
177, 3477, 297.513628, 297.650727, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
178, 3477, 302.212804, 302.81793, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
179, 3477, 305.853011, 306.079933, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
180, 3477, 352.069455, 352.282194, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
181, 3477, 356.158778, 356.295877, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
182, 3477, 380.236146, 380.415792, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
183, 3477, 381.403848, 381.531492, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
184, 3477, 399.864897, 400.18637, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
185, 3477, 400.786768, 400.942777, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
186, 3477, 413.919877, 414.071159, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
187, 3477, 419.753663, 419.89549, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
188, 3477, 422.906933, 423.110218, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
189, 3477, 442.119661, 442.233122, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
190, 3477, 447.745435, 447.873079, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
191, 3477, 448.5633, 448.714581, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
192, 3477, 481.490625, 481.641906, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
193, 3477, 483.509285, 483.80712, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
194, 3477, 486.090523, 486.255987, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
195, 3477, 495.777255, 495.914353, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
196, 3477, 510.834474, 510.9763, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
197, 3477, 512.919319, 513.122604, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
198, 3477, 544.716762, 545.137513, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
199, 3477, 568.855588, 569.077782, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
200, 3477, 571.706295, 571.862304, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
201, 3477, 572.344513, 572.670714, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
202, 3477, 601.631632, 601.773458, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
203, 3477, 613.11483, 613.22829, 'an albimanus', 'mosquito', '/CDC/sounds/CDC_An-albimanus_labelled_800.wav'
221, 3569, 981.63056, 981.780495, 'an arabiensis', 'mosquito', '/CDC/sounds/CDC_An-arabiensis_labelled_800.wav'
222, 3661, 62.095858, 62.163752, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
223, 3661, 62.607326, 62.666168, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
224, 3661, 96.445699, 96.554329, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
225, 3661, 114.831396, 115.302128, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
226, 3661, 185.264638, 185.377795, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
227, 3661, 319.346248, 319.522772, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
228, 3661, 334.504716, 334.604294, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
229, 3661, 492.566489, 492.657015, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
230, 3661, 817.489098, 817.674675, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
231, 3661, 925.368148, 925.585409, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
232, 3661, 937.444228, 937.530227, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
233, 3661, 957.260226, 957.531802, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
234, 3661, 959.016417, 959.446413, 'an atroparvus', 'mosquito', '/CDC/sounds/CDC_An-atroparvus_labelled_800.wav'
235, 3753, 133.067545, 133.149892, 'an coluzzii', 'mosquito', '/CDC/sounds/CDC_An-coluzzii_labelled_800.wav'
236, 3753, 147.512138, 147.618705, 'an coluzzii', 'mosquito', '/CDC/sounds/CDC_An-coluzzii_labelled_800.wav'
